name,published_at,data
dataStream,2015-11-17T08:45:13.949Z,1200;25;907
dataStream,2015-11-17T08:46:13.951Z,1250;26;874
dataStream,2015-11-17T08:47:13.950Z,1200;25;919
dataStream,2015-11-17T08:48:13.954Z,1300;26;886
dataStream,2015-11-17T08:49:13.953Z,1300;26;922
dataStream,2015-11-17T08:50:13.952Z,1300;26;883
dataStream,2015-11-17T08:51:13.951Z,1250;25;886
dataStream,2015-11-17T08:52:13.950Z,1250;26;919
dataStream,2015-11-17T08:53:13.951Z,1300;26;899
dataStream,2015-11-17T08:54:13.950Z,1400;25;889
dataStream,2015-11-17T08:55:13.952Z,1400;26;884
dataStream,2015-11-17T08:56:13.952Z,1357;26;881
dataStream,2015-11-17T08:57:13.952Z,1333;26;920
dataStream,2015-11-17T08:58:13.952Z,1300;25;912
dataStream,2015-11-17T08:59:13.951Z,1396;26;882
dataStream,2015-11-17T09:00:13.954Z,1400;26;925
dataStream,2015-11-17T09:01:13.953Z,1350;25;902
dataStream,2015-11-17T09:02:13.952Z,1398;26;865
dataStream,2015-11-17T09:03:13.960Z,1403;26;881
dataStream,2015-11-17T09:04:13.953Z,1457;26;895
dataStream,2015-11-17T09:05:13.953Z,1443;26;887
dataStream,2015-11-17T09:06:13.952Z,1450;25;889
dataStream,2015-11-17T09:07:13.953Z,1450;26;934
dataStream,2015-11-17T09:08:13.954Z,1450;26;926
dataStream,2015-11-17T09:09:13.955Z,1450;26;912
dataStream,2015-11-17T09:10:13.955Z,1500;26;922
dataStream,2015-11-17T09:11:13.964Z,1450;26;892
dataStream,2015-11-17T09:12:13.957Z,1400;26;895
dataStream,2015-11-17T09:13:13.954Z,1300;26;930
dataStream,2015-11-17T09:14:13.966Z,1300;26;928
dataStream,2015-11-17T09:15:13.954Z,1300;26;901
dataStream,2015-11-17T09:16:13.954Z,1300;26;886
dataStream,2015-11-17T09:17:13.956Z,1250;26;926
dataStream,2015-11-17T09:18:14.220Z,1201;26;893
dataStream,2015-11-17T09:19:13.993Z,1250;26;921
dataStream,2015-11-17T09:20:13.957Z,1200;26;893
dataStream,2015-11-17T09:21:13.956Z,1300;26;896
dataStream,2015-11-17T09:22:13.955Z,1300;26;882
dataStream,2015-11-17T09:23:14.038Z,1350;26;918
dataStream,2015-11-17T09:24:13.956Z,1350;26;902
dataStream,2015-11-17T09:25:13.956Z,1350;26;927
dataStream,2015-11-17T09:26:13.956Z,1300;26;929
dataStream,2015-11-17T09:27:13.957Z,1300;26;931
dataStream,2015-11-17T09:28:14.041Z,1255;25;921
dataStream,2015-11-17T09:29:13.963Z,1300;26;911
dataStream,2015-11-17T09:30:13.958Z,1300;25;896
dataStream,2015-11-17T09:31:13.958Z,1300;26;931
dataStream,2015-11-17T09:32:13.956Z,1341;26;856
dataStream,2015-11-17T09:33:14.034Z,1400;26;889
dataStream,2015-11-17T09:34:13.957Z,1450;26;898
dataStream,2015-11-17T09:35:13.957Z,1369;26;859
dataStream,2015-11-17T09:36:14.117Z,1450;26;908
dataStream,2015-11-17T09:37:13.973Z,1450;26;890
dataStream,2015-11-17T09:38:14.006Z,1450;26;899
dataStream,2015-11-17T09:39:13.967Z,1400;26;872
dataStream,2015-11-17T09:40:13.964Z,1400;25;911
dataStream,2015-11-17T09:41:13.960Z,1409;26;885
dataStream,2015-11-17T09:42:13.969Z,1450;26;930
dataStream,2015-11-17T09:43:14.192Z,1450;26;879
dataStream,2015-11-17T09:44:14.091Z,1450;25;914
dataStream,2015-11-17T09:45:14.038Z,1450;26;919
dataStream,2015-11-17T09:46:14.112Z,1450;26;896
dataStream,2015-11-17T09:47:14.078Z,1450;26;888
dataStream,2015-11-17T09:48:13.960Z,1400;26;910
dataStream,2015-11-17T09:49:13.959Z,1350;26;924
dataStream,2015-11-17T09:50:13.973Z,1400;26;892
dataStream,2015-11-17T09:51:13.961Z,1400;26;879
dataStream,2015-11-17T09:52:14.048Z,1300;26;921
dataStream,2015-11-17T09:53:13.966Z,1300;26;880
dataStream,2015-11-17T09:54:13.960Z,1300;26;883
dataStream,2015-11-17T09:55:13.962Z,1294;26;882
dataStream,2015-11-17T09:56:13.960Z,1300;25;902
dataStream,2015-11-17T09:57:13.962Z,1350;25;903
dataStream,2015-11-17T09:58:13.960Z,1450;26;879
dataStream,2015-11-17T09:59:13.962Z,1500;26;916
dataStream,2015-11-17T10:00:13.962Z,1450;26;873
dataStream,2015-11-17T10:01:13.963Z,1500;26;894
dataStream,2015-11-17T10:02:13.965Z,1500;26;925
dataStream,2015-11-17T10:03:13.963Z,1550;26;878
dataStream,2015-11-17T10:04:13.963Z,1550;26;888
dataStream,2015-11-17T10:05:13.964Z,1600;26;875
dataStream,2015-11-17T10:06:13.961Z,1600;26;870
dataStream,2015-11-17T10:07:13.963Z,1550;26;886
dataStream,2015-11-17T10:08:13.962Z,1550;26;872
dataStream,2015-11-17T10:09:13.963Z,1450;26;895
dataStream,2015-11-17T10:10:13.963Z,1450;25;910
dataStream,2015-11-17T10:11:13.967Z,1450;26;875
dataStream,2015-11-17T10:12:13.965Z,1500;26;894
dataStream,2015-11-17T10:13:13.965Z,1400;26;902
dataStream,2015-11-17T10:14:13.977Z,1300;25;902
dataStream,2015-11-17T10:15:13.964Z,1250;26;883
dataStream,2015-11-17T10:16:13.964Z,1200;25;916
dataStream,2015-11-17T10:21:13.965Z,1650;26;870
dataStream,2015-11-17T10:22:13.964Z,1700;26;924
dataStream,2015-11-17T10:23:13.965Z,1700;25;899
dataStream,2015-11-17T10:24:13.965Z,1750;25;922
dataStream,2015-11-17T10:25:13.964Z,1750;26;907
dataStream,2015-11-17T10:26:13.990Z,1750;26;931
dataStream,2015-11-17T10:27:14.121Z,1750;26;877
dataStream,2015-11-17T10:28:13.966Z,1750;26;920
dataStream,2015-11-17T10:29:13.973Z,1750;26;876
dataStream,2015-11-17T10:30:13.965Z,1650;25;917
dataStream,2015-11-17T10:31:13.965Z,1600;26;923
dataStream,2015-11-17T10:32:13.965Z,1550;25;921
dataStream,2015-11-17T10:33:13.965Z,1600;26;910
dataStream,2015-11-17T10:34:14.022Z,1650;25;885
dataStream,2015-11-17T10:35:13.969Z,1650;26;918
dataStream,2015-11-17T10:36:13.966Z,1606;26;873
dataStream,2015-11-17T10:37:13.965Z,1550;26;918
dataStream,2015-11-17T10:38:14.005Z,1600;26;927
dataStream,2015-11-17T10:39:13.990Z,1550;26;875
dataStream,2015-11-17T10:40:13.967Z,1550;26;907
dataStream,2015-11-17T10:41:13.966Z,1550;26;926
dataStream,2015-11-17T10:42:13.967Z,1550;26;877
dataStream,2015-11-17T10:43:13.970Z,1600;25;896
dataStream,2015-11-17T10:44:13.968Z,1550;25;919
dataStream,2015-11-17T10:45:14.024Z,1436;26;941
dataStream,2015-11-17T10:46:13.973Z,1364;26;921
dataStream,2015-11-17T10:47:13.967Z,1404;26;914
dataStream,2015-11-17T10:48:13.968Z,1358;26;889
dataStream,2015-11-17T10:49:13.969Z,1350;25;909
dataStream,2015-11-17T10:50:14.125Z,1350;26;922
dataStream,2015-11-17T10:51:14.038Z,1350;26;913
dataStream,2015-11-17T10:52:14.071Z,1400;25;923
dataStream,2015-11-17T10:53:14.023Z,1250;26;879
dataStream,2015-11-17T10:54:14.015Z,1300;25;919
dataStream,2015-11-17T10:55:13.968Z,1300;26;904
dataStream,2015-11-17T10:56:13.982Z,1300;26;925
dataStream,2015-11-17T10:57:13.969Z,1234;26;887
dataStream,2015-11-17T10:58:13.979Z,1015;26;898
dataStream,2015-11-17T10:59:14.053Z,1000;25;888
dataStream,2015-11-17T11:00:14.033Z,1049;26;921
dataStream,2015-11-17T11:01:14.061Z,1150;25;921
dataStream,2015-11-17T11:02:13.968Z,1200;26;882
dataStream,2015-11-17T11:03:13.970Z,1273;26;865
dataStream,2015-11-17T11:04:13.969Z,1425;25;912
dataStream,2015-11-17T11:05:13.969Z,1450;26;914
dataStream,2015-11-17T11:06:13.974Z,1600;26;889
dataStream,2015-11-17T11:07:13.970Z,1700;26;921
dataStream,2015-11-17T11:08:13.969Z,1700;26;912
dataStream,2015-11-17T11:09:13.969Z,1700;25;912
dataStream,2015-11-17T11:10:13.969Z,1700;26;905
dataStream,2015-11-17T11:11:13.969Z,1750;26;914
dataStream,2015-11-17T11:12:13.977Z,1650;26;916
dataStream,2015-11-17T11:13:13.970Z,1599;26;882
dataStream,2015-11-17T11:14:13.971Z,1450;25;884
dataStream,2015-11-17T11:15:13.970Z,1400;25;881
dataStream,2015-11-17T11:16:13.970Z,1300;26;870
dataStream,2015-11-17T11:17:13.970Z,1300;26;913
dataStream,2015-11-17T11:18:13.971Z,1350;26;892
dataStream,2015-11-17T11:19:13.970Z,1400;25;904
dataStream,2015-11-17T11:20:13.971Z,1300;25;883
dataStream,2015-11-17T11:21:13.969Z,1400;26;882
dataStream,2015-11-17T11:22:13.973Z,1341;26;898
dataStream,2015-11-17T11:23:13.970Z,1300;25;882
dataStream,2015-11-17T11:24:13.970Z,1200;26;905
dataStream,2015-11-17T11:25:13.971Z,1200;25;906
dataStream,2015-11-17T11:26:13.971Z,1100;26;881
dataStream,2015-11-17T11:27:13.971Z,1100;26;894
dataStream,2015-11-17T11:28:13.970Z,1000;25;882
dataStream,2015-11-17T11:29:13.973Z,900;26;897
dataStream,2015-11-17T11:30:13.970Z,900;26;895
dataStream,2015-11-17T11:31:13.970Z,850;25;872
dataStream,2015-11-17T11:32:13.971Z,800;25;894
dataStream,2015-11-17T11:33:13.970Z,750;26;919
dataStream,2015-11-17T11:34:13.972Z,850;26;883
dataStream,2015-11-17T11:35:13.971Z,950;26;862
dataStream,2015-11-17T11:36:13.972Z,1050;26;867
dataStream,2015-11-17T11:37:13.972Z,1250;26;869
dataStream,2015-11-17T11:38:13.972Z,1250;25;878
dataStream,2015-11-17T11:39:13.971Z,1250;25;898
dataStream,2015-11-17T11:40:13.974Z,1150;26;913
dataStream,2015-11-17T11:41:13.981Z,1150;26;871
dataStream,2015-11-17T11:42:13.971Z,1100;26;914
dataStream,2015-11-17T11:43:13.976Z,1100;26;871
dataStream,2015-11-17T11:44:14.223Z,1100;25;875
dataStream,2015-11-17T11:45:13.973Z,1131;26;869
dataStream,2015-11-17T11:46:13.972Z,1275;26;865
dataStream,2015-11-17T11:47:13.973Z,1450;26;861
dataStream,2015-11-17T11:48:13.973Z,1650;25;882
dataStream,2015-11-17T11:49:13.973Z,1800;26;883
dataStream,2015-11-17T11:50:13.972Z,1800;26;871
dataStream,2015-11-17T11:51:13.974Z,1750;26;909
dataStream,2015-11-17T11:52:13.973Z,1650;26;896
dataStream,2015-11-17T11:53:13.972Z,1635;26;892
dataStream,2015-11-17T11:54:13.975Z,1600;26;913
dataStream,2015-11-17T11:55:13.974Z,1550;26;871
dataStream,2015-11-17T11:56:13.974Z,1650;26;880
dataStream,2015-11-17T11:57:13.972Z,1600;25;887
dataStream,2015-11-17T11:58:13.974Z,1550;25;884
dataStream,2015-11-17T11:59:13.973Z,1550;26;919
dataStream,2015-11-17T12:00:13.974Z,1500;25;898
dataStream,2015-11-17T12:01:13.973Z,1400;26;917
dataStream,2015-11-17T12:02:13.974Z,1300;26;906
dataStream,2015-11-17T12:03:13.973Z,1300;25;924
dataStream,2015-11-17T12:04:13.974Z,1100;26;876
dataStream,2015-11-17T12:05:13.974Z,1100;25;910
dataStream,2015-11-17T12:06:13.973Z,1150;26;868
dataStream,2015-11-17T12:07:13.975Z,1100;26;914
dataStream,2015-11-17T12:08:13.984Z,1100;26;877
dataStream,2015-11-17T12:09:13.980Z,1150;25;878
dataStream,2015-11-17T12:10:13.973Z,1250;26;875
dataStream,2015-11-17T12:11:13.975Z,1300;26;873
dataStream,2015-11-17T12:12:13.975Z,1300;26;875
dataStream,2015-11-17T12:13:13.976Z,1200;26;918
dataStream,2015-11-17T12:14:13.975Z,1250;25;917
dataStream,2015-11-17T12:15:13.975Z,1300;25;911
dataStream,2015-11-17T12:16:13.974Z,1150;26;871
dataStream,2015-11-17T12:17:13.974Z,1150;26;872
dataStream,2015-11-17T12:18:13.976Z,1100;26;870
dataStream,2015-11-17T12:19:13.975Z,1098;25;901
dataStream,2015-11-17T12:20:13.978Z,1150;25;911
dataStream,2015-11-17T12:21:13.976Z,1224;26;872
dataStream,2015-11-17T12:22:13.976Z,1250;25;915
dataStream,2015-11-17T12:23:13.980Z,1200;25;907
dataStream,2015-11-17T12:24:13.976Z,1014;26;922
dataStream,2015-11-17T12:25:13.976Z,1055;26;908
dataStream,2015-11-17T12:26:13.976Z,1150;25;915
dataStream,2015-11-17T12:27:13.976Z,1100;25;925
dataStream,2015-11-17T12:28:13.976Z,1000;26;889
dataStream,2015-11-17T12:29:13.977Z,900;26;880
dataStream,2015-11-17T12:30:13.976Z,900;25;878
dataStream,2015-11-17T12:31:13.976Z,950;26;878
dataStream,2015-11-17T12:32:13.977Z,1100;26;876
dataStream,2015-11-17T12:33:13.977Z,1250;25;922
dataStream,2015-11-17T12:34:13.976Z,1350;26;880
dataStream,2015-11-17T12:35:13.976Z,1289;25;921
dataStream,2015-11-17T12:36:13.976Z,1266;26;862
dataStream,2015-11-17T12:37:13.981Z,1150;26;868
dataStream,2015-11-17T12:38:13.984Z,850;25;915
dataStream,2015-11-17T12:39:13.977Z,750;25;895
dataStream,2015-11-17T12:40:13.977Z,700;26;914
dataStream,2015-11-17T12:41:13.981Z,650;25;918
dataStream,2015-11-17T12:42:13.979Z,650;26;866
dataStream,2015-11-17T12:43:13.978Z,737;25;880
dataStream,2015-11-17T12:44:13.980Z,789;26;908
dataStream,2015-11-17T12:45:13.980Z,800;26;875
dataStream,2015-11-17T12:46:13.978Z,731;25;913
dataStream,2015-11-17T12:47:13.978Z,650;26;874
dataStream,2015-11-17T12:48:13.977Z,604;25;871
dataStream,2015-11-17T12:49:13.978Z,640;26;916
dataStream,2015-11-17T12:50:13.977Z,650;26;887
dataStream,2015-11-17T12:51:13.979Z,650;26;879
dataStream,2015-11-17T12:52:13.979Z,750;26;903
dataStream,2015-11-17T12:53:13.980Z,750;25;877
dataStream,2015-11-17T12:54:13.980Z,750;25;870
dataStream,2015-11-17T12:55:13.978Z,800;26;883
dataStream,2015-11-17T12:56:13.979Z,800;25;892
dataStream,2015-11-17T12:57:13.980Z,793;26;870
dataStream,2015-11-17T12:58:13.982Z,800;25;899
dataStream,2015-11-17T12:59:13.981Z,900;26;887
dataStream,2015-11-17T13:00:13.981Z,900;26;858
dataStream,2015-11-17T13:01:13.980Z,850;25;883
dataStream,2015-11-17T13:02:13.983Z,950;26;865
dataStream,2015-11-17T13:03:13.981Z,1000;26;911
dataStream,2015-11-17T13:04:13.982Z,1100;25;911
dataStream,2015-11-17T13:05:13.983Z,1100;26;880
dataStream,2015-11-17T13:06:13.983Z,1100;26;893
dataStream,2015-11-17T13:07:13.982Z,1222;26;861
dataStream,2015-11-17T13:08:13.983Z,1200;25;886
dataStream,2015-11-17T13:09:13.985Z,1059;26;892
dataStream,2015-11-17T13:10:13.984Z,1050;25;916
dataStream,2015-11-17T13:11:13.986Z,1100;25;922
dataStream,2015-11-17T13:12:13.984Z,1250;25;865
dataStream,2015-11-17T13:13:13.986Z,1233;26;871
dataStream,2015-11-17T13:14:13.983Z,1450;25;914
dataStream,2015-11-17T13:15:13.984Z,1550;26;859
dataStream,2015-11-17T13:16:13.995Z,1600;26;875
dataStream,2015-11-17T13:17:13.984Z,1600;25;902
dataStream,2015-11-17T13:18:13.986Z,1650;26;862
dataStream,2015-11-17T13:19:13.985Z,1650;26;859
dataStream,2015-11-17T13:20:13.985Z,1600;26;881
dataStream,2015-11-17T13:21:13.995Z,1549;26;879
dataStream,2015-11-17T13:22:13.986Z,1398;25;887
dataStream,2015-11-17T13:23:13.987Z,1188;26;866
dataStream,2015-11-17T13:24:13.987Z,1325;26;893
dataStream,2015-11-17T13:25:13.992Z,1350;26;861
dataStream,2015-11-17T13:26:14.015Z,1400;26;924
dataStream,2015-11-17T13:27:13.987Z,1332;25;908
dataStream,2015-11-17T13:28:13.988Z,1407;25;913
dataStream,2015-11-17T13:29:13.989Z,1348;25;883
dataStream,2015-11-17T13:30:14.105Z,1300;26;903
dataStream,2015-11-17T13:31:14.012Z,1246;25;921
dataStream,2015-11-17T13:32:14.008Z,1250;26;894
dataStream,2015-11-17T13:33:13.994Z,1250;25;890
dataStream,2015-11-17T13:34:13.989Z,1350;26;872
dataStream,2015-11-17T13:35:13.997Z,1300;25;914
dataStream,2015-11-17T13:36:13.989Z,1250;25;887
dataStream,2015-11-17T13:37:13.991Z,1250;25;919
dataStream,2015-11-17T13:38:13.992Z,1300;26;868
dataStream,2015-11-17T13:39:13.997Z,1300;26;919
dataStream,2015-11-17T13:40:13.991Z,1400;26;907
dataStream,2015-11-17T13:41:14.234Z,1372;25;920
dataStream,2015-11-17T13:42:13.992Z,1245;26;871
dataStream,2015-11-17T13:43:13.994Z,1160;26;860
dataStream,2015-11-17T13:44:14.044Z,1200;25;874
dataStream,2015-11-17T13:45:13.998Z,1208;26;871
dataStream,2015-11-17T13:46:14.050Z,1300;26;879
dataStream,2015-11-17T13:47:13.993Z,1201;26;915
